admissionid,patientid,doctorid,hospitalid,admissiondate,dischargedate,diagnosis,department,admissiondays,stay_category
ADM-007644,417-93-5911,DR-0044,HOSP-005,2022-12-24,2023-01-17,Melanoma,Dermatology,24,Long Treatment
ADM-007645,482-18-3523,DR-0184,HOSP-009,2022-12-05,2022-12-13,Leukemia,Oncology,8,Medium Treatment
ADM-007646,879-37-1032,DR-0227,HOSP-006,2022-11-13,2022-11-18,Leukemia,Oncology,5,Medium Treatment
ADM-007647,255-40-3368,DR-0034,HOSP-010,2022-10-20,2022-11-13,Lung Cancer,Oncology,24,Long Treatment
ADM-007648,523-25-2071,DR-0334,HOSP-008,2024-04-19,2024-04-22,Lymphoma,Oncology,3,Short Treatment
ADM-007649,971-33-2122,DR-0116,HOSP-006,2024-02-05,2024-02-19,Melanoma,Dermatology,14,Medium Treatment
ADM-007650,114-88-4115,DR-0301,HOSP-003,2022-04-28,2022-05-16,Dengue,General Medicine,18,Long Treatment
ADM-007651,483-90-2659,DR-0193,HOSP-010,2023-08-24,2023-09-18,Spinal Disc Herniation,Orthopedics,25,Long Treatment
ADM-007652,820-63-6991,DR-0142,HOSP-010,2022-01-26,2022-02-02,Ligament Tear,Orthopedics,7,Medium Treatment
ADM-007653,945-77-8510,DR-0319,HOSP-007,2023-11-09,2023-12-03,Melanoma,Dermatology,24,Long Treatment
ADM-007654,510-94-1939,DR-0010,HOSP-007,2022-02-16,2022-02-21,Parkinsons,Neurology,5,Medium Treatment
ADM-007655,405-47-8469,DR-0078,HOSP-007,2023-07-08,2023-07-11,Acne Vulgaris,Dermatology,3,Short Treatment
ADM-007656,289-24-1682,DR-0063,HOSP-002,2023-06-03,2023-06-19,Tonsillitis,Pediatrics,16,Long Treatment
ADM-007657,335-56-4519,DR-0317,HOSP-007,2023-10-16,2023-10-23,Migraine,Neurology,7,Medium Treatment
ADM-007658,645-11-1386,DR-0056,HOSP-007,2022-07-11,2022-07-24,Migraine,Neurology,13,Medium Treatment
ADM-007659,552-63-9034,DR-0127,HOSP-005,2022-05-06,2022-05-07,Depression,Psychiatry,1,Short Treatment
ADM-007660,873-28-4261,DR-0069,HOSP-009,2022-08-19,2022-09-10,Tonsillitis,Pediatrics,22,Long Treatment
ADM-007661,143-29-6027,DR-0322,HOSP-010,2022-12-11,2022-12-28,Spinal Disc Herniation,Orthopedics,17,Long Treatment
ADM-007662,940-94-2451,DR-0068,HOSP-003,2023-05-03,2023-05-08,Pregnancy,Gynecology,5,Medium Treatment
ADM-007663,883-54-3967,DR-0306,HOSP-003,2024-05-07,2024-05-18,Hypertension,Cardiology,11,Medium Treatment
ADM-007664,932-28-9847,DR-0016,HOSP-008,2022-04-13,2022-04-24,Migraine,Neurology,11,Medium Treatment
ADM-007665,187-41-2940,DR-0080,HOSP-005,2022-04-18,2022-05-07,Psoriasis,Dermatology,19,Long Treatment
ADM-007666,631-78-7481,DR-0267,HOSP-002,2023-02-22,2023-03-17,Arrhythmia,Cardiology,23,Long Treatment
ADM-007667,812-98-2067,DR-0302,HOSP-009,2022-08-07,2022-08-30,Fracture,Orthopedics,23,Long Treatment
ADM-007668,909-73-2900,DR-0196,HOSP-005,2023-07-03,2023-07-06,Lymphoma,Oncology,3,Short Treatment
ADM-007669,548-76-8397,DR-0302,HOSP-009,2022-05-25,2022-06-17,Ligament Tear,Orthopedics,23,Long Treatment
ADM-007670,660-93-9919,DR-0300,HOSP-004,2022-01-18,2022-02-03,Alzheimers,Neurology,16,Long Treatment
ADM-007671,107-90-5610,DR-0233,HOSP-006,2022-04-01,2022-04-06,Hypertension,Cardiology,5,Medium Treatment
ADM-007672,321-22-8973,DR-0198,HOSP-006,2022-05-12,2022-05-14,Pneumonia,General Medicine,2,Short Treatment
ADM-007673,354-82-7994,DR-0092,HOSP-009,2022-09-22,2022-09-25,Endometriosis,Gynecology,3,Short Treatment
ADM-007674,323-17-3061,DR-0308,HOSP-005,2023-02-08,2023-02-26,Migraine,Neurology,18,Long Treatment
ADM-007675,577-97-3461,DR-0234,HOSP-007,2024-05-15,2024-06-08,Fracture,Orthopedics,24,Long Treatment
ADM-007676,806-36-9007,DR-0230,HOSP-010,2024-03-28,2024-04-13,Lung Cancer,Oncology,16,Long Treatment
ADM-007677,445-80-3139,DR-0287,HOSP-007,2023-05-11,2023-06-02,Tonsillitis,Pediatrics,22,Long Treatment
ADM-007678,258-81-6838,DR-0229,HOSP-001,2023-08-06,2023-08-26,Spinal Disc Herniation,Orthopedics,20,Long Treatment
ADM-007679,475-15-4708,DR-0228,HOSP-003,2023-08-09,2023-09-01,Dengue,General Medicine,23,Long Treatment
ADM-007680,436-69-9518,DR-0203,HOSP-010,2022-10-12,2022-11-02,Pregnancy,Gynecology,21,Long Treatment
ADM-007681,231-89-7914,DR-0080,HOSP-005,2024-03-26,2024-04-20,Eczema,Dermatology,25,Long Treatment
ADM-007682,897-60-5320,DR-0168,HOSP-003,2024-01-01,2024-01-18,Coronary Artery Disease,Cardiology,17,Long Treatment
ADM-007683,170-22-1065,DR-0288,HOSP-001,2024-04-18,2024-05-05,Arthritis,Orthopedics,17,Long Treatment
ADM-007684,237-46-8551,DR-0012,HOSP-001,2023-01-30,2023-02-13,Psoriasis,Dermatology,14,Medium Treatment
ADM-007685,123-29-3743,DR-0032,HOSP-008,2024-02-25,2024-03-15,Psoriasis,Dermatology,19,Long Treatment
ADM-007686,709-53-4721,DR-0158,HOSP-001,2024-02-13,2024-03-09,Food Poisoning,General Medicine,25,Long Treatment
ADM-007687,226-64-8258,DR-0291,HOSP-005,2023-04-06,2023-04-15,Eczema,Dermatology,9,Medium Treatment
ADM-007688,862-16-2163,DR-0046,HOSP-010,2023-06-03,2023-06-24,Lymphoma,Oncology,21,Long Treatment
ADM-007689,121-79-7408,DR-0275,HOSP-007,2023-01-12,2023-01-26,Eczema,Dermatology,14,Medium Treatment
ADM-007690,270-88-5907,DR-0065,HOSP-007,2022-02-01,2022-02-07,Lung Cancer,Oncology,6,Medium Treatment
ADM-007691,237-43-3099,DR-0125,HOSP-006,2023-08-20,2023-08-31,Myocardial Infarction,Cardiology,11,Medium Treatment
ADM-007692,120-98-1754,DR-0111,HOSP-007,2022-01-26,2022-02-03,Epilepsy,Neurology,8,Medium Treatment
ADM-007693,669-27-7334,DR-0273,HOSP-003,2023-08-28,2023-09-04,Endometriosis,Gynecology,7,Medium Treatment
ADM-007694,397-43-4858,DR-0154,HOSP-003,2024-02-05,2024-02-17,Lung Cancer,Oncology,12,Medium Treatment
ADM-007695,578-37-6145,DR-0180,HOSP-006,2022-10-04,2022-10-08,Myocardial Infarction,Cardiology,4,Short Treatment
ADM-007696,525-78-8215,DR-0028,HOSP-010,2023-02-03,2023-02-05,PCOS,Gynecology,2,Short Treatment
ADM-007697,115-10-7814,DR-0343,HOSP-010,2023-09-06,2023-09-29,PCOS,Gynecology,23,Long Treatment
ADM-007698,809-78-5694,DR-0055,HOSP-001,2023-02-07,2023-02-23,Arthritis,Orthopedics,16,Long Treatment
ADM-007699,862-16-2163,DR-0337,HOSP-008,2023-03-05,2023-03-29,Parkinsons,Neurology,24,Long Treatment
ADM-007700,254-91-8253,DR-0279,HOSP-010,2024-02-25,2024-03-16,Fracture,Orthopedics,20,Long Treatment
ADM-007701,757-62-3353,DR-0305,HOSP-010,2023-09-07,2023-09-19,Anxiety Disorder,Psychiatry,12,Medium Treatment
ADM-007702,653-66-1831,DR-0090,HOSP-009,2022-02-15,2022-03-06,Schizophrenia,Psychiatry,19,Long Treatment
ADM-007703,762-47-9173,DR-0262,HOSP-008,2023-01-21,2023-02-13,Chickenpox,Pediatrics,23,Long Treatment
ADM-007704,465-67-3691,DR-0055,HOSP-001,2022-10-19,2022-11-04,Ligament Tear,Orthopedics,16,Long Treatment
ADM-007705,426-18-4335,DR-0172,HOSP-005,2023-04-24,2023-05-03,Viral Fever,General Medicine,9,Medium Treatment
ADM-007706,914-53-5918,DR-0010,HOSP-007,2022-12-22,2023-01-01,Alzheimers,Neurology,10,Medium Treatment
ADM-007707,598-40-7029,DR-0167,HOSP-002,2022-07-20,2022-08-10,Psoriasis,Dermatology,21,Long Treatment
ADM-007708,485-42-1284,DR-0121,HOSP-008,2022-11-06,2022-11-28,Melanoma,Dermatology,22,Long Treatment
ADM-007709,363-30-2212,DR-0186,HOSP-003,2024-01-06,2024-01-10,Leukemia,Oncology,4,Short Treatment
ADM-007710,903-45-7682,DR-0026,HOSP-001,2022-03-31,2022-04-06,Coronary Artery Disease,Cardiology,6,Medium Treatment
ADM-007711,421-76-4630,DR-0075,HOSP-007,2022-01-29,2022-02-04,Dengue,General Medicine,6,Medium Treatment
ADM-007712,422-69-2434,DR-0331,HOSP-001,2022-03-09,2022-03-19,Lung Cancer,Oncology,10,Medium Treatment
ADM-007713,461-16-7925,DR-0019,HOSP-007,2024-04-28,2024-05-17,Epilepsy,Neurology,19,Long Treatment
ADM-007714,620-52-1870,DR-0130,HOSP-006,2022-05-30,2022-06-24,Heart Failure,Cardiology,25,Long Treatment
ADM-007715,201-90-8529,DR-0153,HOSP-005,2023-03-31,2023-04-09,Eczema,Dermatology,9,Medium Treatment
ADM-007716,631-82-1712,DR-0130,HOSP-006,2022-03-11,2022-03-22,Hypertension,Cardiology,11,Medium Treatment
ADM-007717,694-99-7143,DR-0067,HOSP-004,2023-09-09,2023-09-24,Arthritis,Orthopedics,15,Long Treatment
ADM-007718,555-31-9970,DR-0347,HOSP-002,2022-02-28,2022-03-12,Ligament Tear,Orthopedics,12,Medium Treatment
ADM-007719,935-34-2783,DR-0326,HOSP-009,2022-11-18,2022-11-23,Arrhythmia,Cardiology,5,Medium Treatment
ADM-007720,419-11-6600,DR-0310,HOSP-005,2023-04-12,2023-04-15,Parkinsons,Neurology,3,Short Treatment
ADM-007721,407-90-2536,DR-0215,HOSP-009,2022-05-22,2022-06-15,Food Poisoning,General Medicine,24,Long Treatment
ADM-007722,282-64-9691,DR-0050,HOSP-002,2023-10-07,2023-10-25,Heart Failure,Cardiology,18,Long Treatment
ADM-007723,654-17-2130,DR-0063,HOSP-002,2023-04-21,2023-05-03,Asthma,Pediatrics,12,Medium Treatment
ADM-007724,371-56-5490,DR-0098,HOSP-001,2023-11-01,2023-11-03,Ligament Tear,Orthopedics,2,Short Treatment
ADM-007725,745-93-4012,DR-0298,HOSP-003,2023-04-14,2023-04-15,Lung Cancer,Oncology,1,Short Treatment
ADM-007726,805-58-7088,DR-0108,HOSP-007,2022-07-31,2022-08-17,Parkinsons,Neurology,17,Long Treatment
ADM-007727,392-73-5938,DR-0191,HOSP-001,2023-12-27,2024-01-13,Heart Failure,Cardiology,17,Long Treatment
ADM-007728,141-31-6075,DR-0338,HOSP-006,2023-03-16,2023-04-04,Lymphoma,Oncology,19,Long Treatment
ADM-007729,584-80-9698,DR-0343,HOSP-010,2022-08-30,2022-09-24,Ovarian Cyst,Gynecology,25,Long Treatment
ADM-007730,969-12-2040,DR-0336,HOSP-008,2023-06-27,2023-07-02,Parkinsons,Neurology,5,Medium Treatment
ADM-007731,879-27-3425,DR-0077,HOSP-002,2023-05-10,2023-05-27,Coronary Artery Disease,Cardiology,17,Long Treatment
ADM-007732,750-69-5951,DR-0289,HOSP-004,2023-10-16,2023-11-09,Tonsillitis,Pediatrics,24,Long Treatment
ADM-007733,144-16-7613,DR-0006,HOSP-007,2023-11-24,2023-11-27,Myocardial Infarction,Cardiology,3,Short Treatment
ADM-007734,828-15-4782,DR-0318,HOSP-008,2022-06-04,2022-06-11,Spinal Disc Herniation,Orthopedics,7,Medium Treatment
ADM-007735,623-17-3160,DR-0014,HOSP-008,2022-07-06,2022-07-24,Depression,Psychiatry,18,Long Treatment
ADM-007736,555-31-9970,DR-0230,HOSP-010,2022-12-31,2023-01-04,Lung Cancer,Oncology,4,Short Treatment
ADM-007737,805-89-4999,DR-0310,HOSP-005,2023-03-20,2023-04-09,Parkinsons,Neurology,20,Long Treatment
ADM-007738,343-37-8794,DR-0200,HOSP-002,2022-06-23,2022-07-10,Bipolar Disorder,Psychiatry,17,Long Treatment
ADM-007739,883-90-6591,DR-0097,HOSP-005,2022-04-11,2022-05-04,Heart Failure,Cardiology,23,Long Treatment
ADM-007740,499-45-9431,DR-0123,HOSP-003,2022-01-25,2022-01-31,Arrhythmia,Cardiology,6,Medium Treatment
ADM-007741,104-13-9955,DR-0102,HOSP-006,2024-05-15,2024-06-03,Bronchitis,Pediatrics,19,Long Treatment
ADM-007742,953-80-3383,DR-0184,HOSP-009,2024-05-26,2024-06-10,Leukemia,Oncology,15,Long Treatment
ADM-007743,675-95-4694,DR-0078,HOSP-007,2022-10-03,2022-10-11,Eczema,Dermatology,8,Medium Treatment
ADM-007744,989-72-8531,DR-0109,HOSP-001,2022-08-01,2022-08-11,Melanoma,Dermatology,10,Medium Treatment
ADM-007745,916-77-4608,DR-0228,HOSP-003,2024-03-14,2024-04-08,Pneumonia,General Medicine,25,Long Treatment
ADM-007746,588-86-3591,DR-0260,HOSP-001,2022-03-06,2022-03-20,Chickenpox,Pediatrics,14,Medium Treatment
ADM-007747,267-99-8011,DR-0323,HOSP-006,2023-06-27,2023-07-14,Coronary Artery Disease,Cardiology,17,Long Treatment
ADM-007748,134-65-1096,DR-0081,HOSP-005,2024-02-12,2024-02-20,Psoriasis,Dermatology,8,Medium Treatment
ADM-007749,714-88-2816,DR-0337,HOSP-008,2023-06-01,2023-06-21,Parkinsons,Neurology,20,Long Treatment
ADM-007750,971-80-8557,DR-0273,HOSP-003,2023-03-29,2023-04-20,Pregnancy,Gynecology,22,Long Treatment
ADM-007751,940-75-8816,DR-0289,HOSP-004,2022-02-11,2022-02-23,Bronchitis,Pediatrics,12,Medium Treatment
ADM-007752,119-77-1991,DR-0054,HOSP-007,2022-11-26,2022-12-05,Dengue,General Medicine,9,Medium Treatment
ADM-007753,827-93-3913,DR-0285,HOSP-002,2023-07-13,2023-07-16,Asthma,Pediatrics,3,Short Treatment
ADM-007754,323-67-2217,DR-0139,HOSP-008,2022-03-19,2022-04-13,Fracture,Orthopedics,25,Long Treatment
ADM-007755,977-38-1576,DR-0171,HOSP-008,2023-09-23,2023-10-11,Heart Failure,Cardiology,18,Long Treatment
ADM-007756,698-89-7615,DR-0033,HOSP-005,2023-02-24,2023-03-10,Viral Fever,General Medicine,14,Medium Treatment
ADM-007757,896-75-1797,DR-0035,HOSP-001,2024-01-12,2024-02-06,Fracture,Orthopedics,25,Long Treatment
ADM-007758,683-46-1064,DR-0343,HOSP-010,2024-01-03,2024-01-07,Ovarian Cyst,Gynecology,4,Short Treatment
ADM-007759,929-85-1623,DR-0173,HOSP-009,2023-06-05,2023-06-09,Measles,Pediatrics,4,Short Treatment
ADM-007760,322-13-6366,DR-0086,HOSP-007,2023-05-11,2023-05-15,Schizophrenia,Psychiatry,4,Short Treatment
ADM-007761,123-59-4637,DR-0320,HOSP-002,2022-09-01,2022-09-19,Endometriosis,Gynecology,18,Long Treatment
ADM-007762,928-25-5277,DR-0232,HOSP-003,2022-02-03,2022-02-07,Pregnancy,Gynecology,4,Short Treatment
ADM-007763,292-25-9438,DR-0210,HOSP-004,2022-12-14,2023-01-04,Melanoma,Dermatology,21,Long Treatment
ADM-007764,203-45-4710,DR-0260,HOSP-001,2022-01-30,2022-02-21,Chickenpox,Pediatrics,22,Long Treatment
ADM-007765,617-78-5558,DR-0307,HOSP-003,2022-07-21,2022-08-01,Lymphoma,Oncology,11,Medium Treatment
ADM-007766,251-84-1197,DR-0338,HOSP-006,2024-05-09,2024-05-28,Leukemia,Oncology,19,Long Treatment
ADM-007767,106-83-5275,DR-0318,HOSP-008,2022-03-04,2022-03-19,Fracture,Orthopedics,15,Long Treatment
ADM-007768,521-12-3431,DR-0283,HOSP-002,2022-12-03,2022-12-14,Anxiety Disorder,Psychiatry,11,Medium Treatment
ADM-007769,675-71-7839,DR-0062,HOSP-001,2022-01-18,2022-02-07,Acne Vulgaris,Dermatology,20,Long Treatment
ADM-007770,421-55-3805,DR-0120,HOSP-005,2022-05-18,2022-06-11,Bipolar Disorder,Psychiatry,24,Long Treatment
ADM-007771,638-52-9043,DR-0314,HOSP-003,2023-04-03,2023-04-06,Coronary Artery Disease,Cardiology,3,Short Treatment
ADM-007772,551-36-6295,DR-0276,HOSP-008,2023-03-06,2023-03-25,Acne Vulgaris,Dermatology,19,Long Treatment
ADM-007773,392-93-8654,DR-0245,HOSP-007,2023-07-03,2023-07-10,Heart Failure,Cardiology,7,Medium Treatment
ADM-007774,675-55-3059,DR-0329,HOSP-008,2022-04-24,2022-05-09,Bipolar Disorder,Psychiatry,15,Long Treatment
ADM-007775,273-54-1451,DR-0313,HOSP-005,2023-03-09,2023-03-15,PCOS,Gynecology,6,Medium Treatment
ADM-007776,391-30-3105,DR-0017,HOSP-003,2022-02-24,2022-03-16,Breast Cancer,Oncology,20,Long Treatment
ADM-007777,943-88-5355,DR-0293,HOSP-003,2024-01-22,2024-02-11,Psoriasis,Dermatology,20,Long Treatment
ADM-007778,416-53-6095,DR-0167,HOSP-002,2024-01-04,2024-01-20,Melanoma,Dermatology,16,Long Treatment
ADM-007779,457-77-7399,DR-0210,HOSP-004,2023-01-15,2023-01-23,Acne Vulgaris,Dermatology,8,Medium Treatment
ADM-007780,196-66-3483,DR-0124,HOSP-003,2023-09-07,2023-09-19,Acne Vulgaris,Dermatology,12,Medium Treatment
ADM-007781,577-45-4051,DR-0016,HOSP-008,2023-09-25,2023-10-09,Parkinsons,Neurology,14,Medium Treatment
ADM-007782,561-66-7523,DR-0348,HOSP-004,2022-06-19,2022-07-02,Fracture,Orthopedics,13,Medium Treatment
ADM-007783,153-29-3579,DR-0145,HOSP-003,2023-12-27,2024-01-09,Tonsillitis,Pediatrics,13,Medium Treatment
ADM-007784,786-88-9078,DR-0273,HOSP-003,2022-05-28,2022-06-15,Pregnancy,Gynecology,18,Long Treatment
ADM-007785,524-24-9061,DR-0323,HOSP-006,2022-11-11,2022-11-15,Myocardial Infarction,Cardiology,4,Short Treatment
ADM-007786,518-11-5421,DR-0286,HOSP-003,2023-09-24,2023-10-15,Endometriosis,Gynecology,21,Long Treatment
ADM-007787,205-75-7804,DR-0192,HOSP-002,2023-07-24,2023-08-11,Arthritis,Orthopedics,18,Long Treatment
ADM-007788,901-25-3879,DR-0111,HOSP-007,2022-02-12,2022-02-20,Migraine,Neurology,8,Medium Treatment
ADM-007789,313-85-3158,DR-0042,HOSP-009,2022-12-16,2022-12-18,Leukemia,Oncology,2,Short Treatment
ADM-007790,392-99-9875,DR-0326,HOSP-009,2022-08-09,2022-08-24,Myocardial Infarction,Cardiology,15,Long Treatment
ADM-007791,495-90-8828,DR-0162,HOSP-004,2023-02-07,2023-02-09,Fracture,Orthopedics,2,Short Treatment
ADM-007792,310-58-7587,DR-0336,HOSP-008,2022-07-04,2022-07-21,Epilepsy,Neurology,17,Long Treatment
ADM-007793,801-58-9657,DR-0060,HOSP-005,2022-12-02,2022-12-04,Migraine,Neurology,2,Short Treatment
ADM-007794,421-55-3805,DR-0154,HOSP-003,2023-07-23,2023-08-01,Lymphoma,Oncology,9,Medium Treatment
ADM-007795,458-11-5478,DR-0163,HOSP-007,2024-03-07,2024-03-10,Viral Fever,General Medicine,3,Short Treatment
ADM-007796,551-75-5808,DR-0199,HOSP-003,2023-03-06,2023-03-23,Lymphoma,Oncology,17,Long Treatment
ADM-007797,437-86-4654,DR-0344,HOSP-001,2022-07-18,2022-08-12,Heart Failure,Cardiology,25,Long Treatment
ADM-007798,410-30-7951,DR-0292,HOSP-005,2023-04-25,2023-05-03,Lymphoma,Oncology,8,Medium Treatment
ADM-007799,341-36-8152,DR-0121,HOSP-008,2023-04-04,2023-04-09,Psoriasis,Dermatology,5,Medium Treatment
ADM-007800,812-59-2749,DR-0337,HOSP-008,2023-12-14,2023-12-17,Stroke,Neurology,3,Short Treatment
ADM-007801,443-94-5246,DR-0070,HOSP-002,2023-11-21,2023-11-25,Pregnancy,Gynecology,4,Short Treatment
ADM-007802,348-29-3078,DR-0273,HOSP-003,2023-10-01,2023-10-11,Endometriosis,Gynecology,10,Medium Treatment
ADM-007803,912-82-6487,DR-0041,HOSP-002,2024-05-05,2024-05-24,Bronchitis,Pediatrics,19,Long Treatment
ADM-007804,740-40-9464,DR-0324,HOSP-009,2022-12-30,2023-01-21,Asthma,Pediatrics,22,Long Treatment
ADM-007805,514-67-5093,DR-0275,HOSP-007,2022-09-13,2022-09-14,Eczema,Dermatology,1,Short Treatment
ADM-007806,365-90-2399,DR-0115,HOSP-007,2022-06-19,2022-06-20,Lymphoma,Oncology,1,Short Treatment
ADM-007807,328-13-4164,DR-0090,HOSP-009,2022-08-17,2022-08-18,Depression,Psychiatry,1,Short Treatment
ADM-007808,494-82-3660,DR-0190,HOSP-006,2023-01-20,2023-01-27,Pneumonia,General Medicine,7,Medium Treatment
ADM-007809,625-83-9689,DR-0331,HOSP-001,2023-05-28,2023-06-01,Leukemia,Oncology,4,Short Treatment
ADM-007810,227-22-5495,DR-0043,HOSP-007,2022-01-22,2022-02-16,Breast Cancer,Oncology,25,Long Treatment
ADM-007811,729-11-4098,DR-0096,HOSP-005,2022-01-21,2022-01-26,Bipolar Disorder,Psychiatry,5,Medium Treatment
ADM-007812,901-63-5260,DR-0217,HOSP-008,2024-02-23,2024-02-29,Melanoma,Dermatology,6,Medium Treatment
ADM-007813,144-39-9515,DR-0160,HOSP-005,2023-10-25,2023-11-09,Ligament Tear,Orthopedics,15,Long Treatment
ADM-007814,619-18-5447,DR-0186,HOSP-003,2024-03-09,2024-03-15,Lymphoma,Oncology,6,Medium Treatment
ADM-007815,201-32-7354,DR-0280,HOSP-008,2022-03-27,2022-04-16,Measles,Pediatrics,20,Long Treatment
ADM-007816,715-55-5847,DR-0190,HOSP-006,2023-06-29,2023-07-22,Pneumonia,General Medicine,23,Long Treatment
ADM-007817,720-34-8450,DR-0048,HOSP-002,2024-03-09,2024-03-17,Food Poisoning,General Medicine,8,Medium Treatment
ADM-007818,294-69-7961,DR-0111,HOSP-007,2022-04-26,2022-05-19,Migraine,Neurology,23,Long Treatment
ADM-007819,310-39-5769,DR-0232,HOSP-003,2023-05-24,2023-05-31,Endometriosis,Gynecology,7,Medium Treatment
ADM-007820,747-25-5865,DR-0033,HOSP-005,2023-07-29,2023-08-10,Dengue,General Medicine,12,Medium Treatment
ADM-007821,952-83-1839,DR-0293,HOSP-003,2023-11-04,2023-11-09,Melanoma,Dermatology,5,Medium Treatment
ADM-007822,428-46-7795,DR-0296,HOSP-007,2022-07-19,2022-07-29,Ovarian Cyst,Gynecology,10,Medium Treatment
ADM-007823,806-21-9458,DR-0181,HOSP-010,2022-05-27,2022-06-13,Heart Failure,Cardiology,17,Long Treatment
ADM-007824,731-94-9821,DR-0118,HOSP-005,2024-05-28,2024-06-14,Hypertension,Cardiology,17,Long Treatment
ADM-007825,910-61-3331,DR-0212,HOSP-008,2023-04-04,2023-04-17,Anxiety Disorder,Psychiatry,13,Medium Treatment
ADM-007826,172-21-6010,DR-0343,HOSP-010,2023-11-09,2023-11-16,PCOS,Gynecology,7,Medium Treatment
ADM-007827,643-75-4176,DR-0235,HOSP-004,2022-06-24,2022-07-02,Dengue,General Medicine,8,Medium Treatment
ADM-007828,560-34-9375,DR-0349,HOSP-003,2022-03-26,2022-04-09,Eczema,Dermatology,14,Medium Treatment
ADM-007829,318-80-2479,DR-0037,HOSP-004,2024-03-11,2024-03-19,Melanoma,Dermatology,8,Medium Treatment
ADM-007830,472-50-5719,DR-0061,HOSP-007,2024-03-29,2024-03-30,Chickenpox,Pediatrics,1,Short Treatment
ADM-007831,532-44-2507,DR-0306,HOSP-003,2022-11-14,2022-12-02,Hypertension,Cardiology,18,Long Treatment
ADM-007832,437-61-4044,DR-0099,HOSP-003,2022-11-22,2022-12-17,Ovarian Cyst,Gynecology,25,Long Treatment
ADM-007833,868-57-6817,DR-0229,HOSP-001,2022-12-11,2022-12-24,Ligament Tear,Orthopedics,13,Medium Treatment
ADM-007834,454-33-8257,DR-0091,HOSP-002,2023-12-10,2023-12-31,Stroke,Neurology,21,Long Treatment
ADM-007835,832-22-7374,DR-0286,HOSP-003,2023-06-22,2023-07-10,Pregnancy,Gynecology,18,Long Treatment
ADM-007836,580-49-2633,DR-0146,HOSP-006,2023-02-06,2023-03-01,Arthritis,Orthopedics,23,Long Treatment
ADM-007837,675-88-2982,DR-0201,HOSP-003,2022-12-25,2023-01-10,Arrhythmia,Cardiology,16,Long Treatment
ADM-007838,108-74-6603,DR-0005,HOSP-010,2024-03-26,2024-04-14,Parkinsons,Neurology,19,Long Treatment
ADM-007839,813-34-4916,DR-0274,HOSP-003,2024-04-21,2024-05-12,Lung Cancer,Oncology,21,Long Treatment
ADM-007840,757-63-8471,DR-0193,HOSP-010,2022-02-14,2022-02-26,Spinal Disc Herniation,Orthopedics,12,Medium Treatment
ADM-007841,705-51-8386,DR-0212,HOSP-008,2022-04-06,2022-04-14,Bipolar Disorder,Psychiatry,8,Medium Treatment
ADM-007842,553-38-2501,DR-0062,HOSP-001,2024-05-29,2024-06-22,Psoriasis,Dermatology,24,Long Treatment
ADM-007843,350-74-6093,DR-0308,HOSP-005,2023-07-14,2023-07-20,Parkinsons,Neurology,6,Medium Treatment
ADM-007844,504-91-5861,DR-0334,HOSP-008,2022-04-09,2022-04-15,Lymphoma,Oncology,6,Medium Treatment
ADM-007845,306-10-9206,DR-0230,HOSP-010,2022-03-27,2022-04-09,Breast Cancer,Oncology,13,Medium Treatment
ADM-007846,710-36-3833,DR-0126,HOSP-001,2022-08-26,2022-08-30,Bipolar Disorder,Psychiatry,4,Short Treatment
ADM-007847,243-37-3141,DR-0149,HOSP-001,2023-09-28,2023-10-09,Parkinsons,Neurology,11,Medium Treatment
ADM-007848,286-47-1740,DR-0071,HOSP-010,2022-03-02,2022-03-04,Bronchitis,Pediatrics,2,Short Treatment
ADM-007849,225-28-6728,DR-0079,HOSP-010,2023-06-19,2023-06-28,Leukemia,Oncology,9,Medium Treatment
ADM-007850,673-85-1663,DR-0261,HOSP-007,2024-02-18,2024-03-11,Fracture,Orthopedics,22,Long Treatment
ADM-007851,797-82-6295,DR-0112,HOSP-003,2024-04-04,2024-04-18,Leukemia,Oncology,14,Medium Treatment
ADM-007852,523-15-4625,DR-0006,HOSP-007,2022-06-18,2022-07-09,Heart Failure,Cardiology,21,Long Treatment
ADM-007853,507-23-1753,DR-0112,HOSP-003,2024-05-27,2024-06-20,Leukemia,Oncology,24,Long Treatment
ADM-007854,107-90-1376,DR-0254,HOSP-009,2022-06-22,2022-06-27,Viral Fever,General Medicine,5,Medium Treatment
ADM-007855,435-25-5530,DR-0257,HOSP-008,2024-02-14,2024-02-19,Melanoma,Dermatology,5,Medium Treatment
ADM-007856,908-55-4156,DR-0166,HOSP-010,2023-07-07,2023-07-17,Acne Vulgaris,Dermatology,10,Medium Treatment
ADM-007857,780-14-7528,DR-0133,HOSP-006,2024-02-25,2024-03-01,Migraine,Neurology,5,Medium Treatment
ADM-007858,955-70-1853,DR-0318,HOSP-008,2023-06-21,2023-07-06,Spinal Disc Herniation,Orthopedics,15,Long Treatment
ADM-007859,547-59-6130,DR-0138,HOSP-010,2023-06-12,2023-06-22,Coronary Artery Disease,Cardiology,10,Medium Treatment
ADM-007860,727-53-6995,DR-0176,HOSP-002,2023-08-08,2023-08-31,Psoriasis,Dermatology,23,Long Treatment
ADM-007861,391-52-7174,DR-0323,HOSP-006,2024-02-20,2024-03-12,Myocardial Infarction,Cardiology,21,Long Treatment
ADM-007862,718-32-9245,DR-0060,HOSP-005,2023-08-08,2023-08-25,Stroke,Neurology,17,Long Treatment
